time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2016-11-08T06:56:07.000Z,63.4486,-148.3737,3.6,1.9,ml,,,,0.58,ak,ak14309872,2016-11-08T07:03:21.528Z,"29km ENE of Cantwell, Alaska",earthquake,0.3,0.3,,,automatic,ak,ak
2016-11-08T06:40:14.780Z,41.8899,-119.6267,7.7,1.4,ml,7,121.06,0.14,0.1799,nn,nn00565824,2016-11-08T15:18:41.080Z,"68km ESE of Lakeview, Oregon",earthquake,,6,0.28,3,reviewed,nn,nn
2016-11-08T06:35:07.070Z,38.7878342,-122.7468338,1.37,1,md,10,84,0.009137,0.01,nc,nc72721860,2016-11-08T07:03:04.182Z,"1km NE of The Geysers, California",earthquake,0.31,0.76,0.25,4,automatic,nc,nc
2016-11-08T06:26:12.000Z,61.6882,-150.7909,61.3,1.7,ml,,,,0.65,ak,ak14309861,2016-11-08T06:36:18.307Z,"40km W of Willow, Alaska",earthquake,0.4,0.5,,,automatic,ak,ak
2016-11-08T06:25:55.260Z,-58.0464,148.291,32.96,4.9,mb,,116,15.168,0.96,us,us1000768s,2016-11-08T11:44:05.040Z,West of Macquarie Island,earthquake,15.1,6.5,0.11,28,reviewed,us,us
2016-11-08T06:21:44.380Z,38.7581673,-122.7276688,2.64,0.54,md,7,142,0.01714,0.03,nc,nc72721855,2016-11-08T06:51:03.153Z,"3km SE of The Geysers, California",earthquake,0.57,1.33,0.06,4,automatic,nc,nc
2016-11-08T06:20:08.000Z,63.394,-149.6015,2.6,1.6,ml,,,,0.3,ak,ak14309860,2016-11-08T06:32:11.905Z,"32km W of Cantwell, Alaska",earthquake,0.3,1,,,automatic,ak,ak
2016-11-08T06:11:37.440Z,19.1823333,-155.64,9.554,1.61,md,39,89,0.06769,0.19,hv,hv61473121,2016-11-08T20:13:58.490Z,"17km W of Pahala, Hawaii",earthquake,0.43,0.86,0.168,19,reviewed,hv,hv
2016-11-08T06:01:40.560Z,35.8391667,-117.5278333,1.24,0.95,ml,24,77,0.06126,0.14,ci,ci37519607,2016-11-08T15:36:30.425Z,"14km NW of Searles Valley, CA",earthquake,0.17,0.29,0.116,11,reviewed,ci,ci
2016-11-08T05:44:42.740Z,-36.6029,-73.6206,21.6,4.9,mb,,123,0.374,1.18,us,us1000768d,2016-11-08T06:43:12.040Z,"46km WNW of Talcahuano, Chile",earthquake,6.2,4.3,0.081,48,reviewed,us,us
2016-11-08T05:38:25.000Z,60.3144,-152.6167,94.2,2.3,ml,,,,0.48,ak,ak14309842,2016-11-08T05:46:58.598Z,"20km SSE of Redoubt Volcano, Alaska",earthquake,0.9,1.1,,,automatic,ak,ak
2016-11-08T05:26:26.360Z,34.5805,-118.0393333,7.78,1.17,ml,22,65,0.05387,0.09,ci,ci37519599,2016-11-08T14:03:13.379Z,"6km E of Palmdale, CA",earthquake,0.21,0.45,0.338,27,reviewed,ci,ci
2016-11-08T05:24:36.140Z,37.5266667,-118.876,2.83,0.13,md,8,209,0.07341,0.03,nc,nc72721845,2016-11-08T18:28:02.710Z,"15km SSE of Mammoth Lakes, California",earthquake,0.81,3.04,0.125,6,reviewed,nc,nc
2016-11-08T05:16:17.530Z,-36.5898,-73.4947,20.03,4.9,mb,,154,0.291,0.89,us,us10007685,2016-11-08T06:35:04.040Z,"36km WNW of Talcahuano, Chile",earthquake,3.6,6.8,0.071,62,reviewed,us,us
2016-11-08T05:10:50.000Z,61.6798,-151.8061,116.5,2.4,ml,,,,0.52,ak,ak14309832,2016-11-08T05:19:34.800Z,"93km W of Willow, Alaska",earthquake,1.2,1.2,,,automatic,ak,ak
2016-11-08T04:55:44.250Z,-36.5806,-73.6355,17.3,5.9,mwr,,124,0.394,1.08,us,us10007681,2016-11-08T21:08:47.684Z,"48km WNW of Talcahuano, Chile",earthquake,6.5,5.1,0.043,53,reviewed,us,us
2016-11-08T04:55:12.000Z,58.6026,-143.2608,10,2.5,ml,,,,0.82,ak,ak14309827,2016-11-08T18:57:42.817Z,"169km SSW of Cape Yakataga, Alaska",earthquake,2.4,,,,reviewed,ak,ak
2016-11-08T04:43:49.960Z,37.6351667,-118.8816667,5.74,0.58,md,23,106,0.01516,0.06,nc,nc72721830,2016-11-08T18:17:01.694Z,"8km E of Mammoth Lakes, California",earthquake,0.37,0.36,0.168,16,reviewed,nc,nc
2016-11-08T04:27:13.590Z,-58.1573,148.4807,10,5,mb,,107,6.88,0.75,us,us1000767s,2016-11-08T04:37:33.040Z,West of Macquarie Island,earthquake,4.1,2,0.118,23,reviewed,us,us
2016-11-08T04:17:44.290Z,37.5523333,-114.0696667,5.85,1.89,ml,16,99,0.1918,0.21,uu,uu60169982,2016-11-08T16:39:53.490Z,"31km W of Enterprise, Utah",earthquake,0.58,1.36,0.09,3,reviewed,uu,uu
2016-11-08T04:08:44.220Z,38.8256683,-122.7870026,1.3,1,md,10,176,0.01883,0.01,nc,nc72721825,2016-11-08T04:24:02.857Z,"5km W of Cobb, California",earthquake,0.63,0.64,0.05,5,automatic,nc,nc
2016-11-08T04:03:56.410Z,36.0001,-96.7776,2.99,2.1,mb_lg,,58,0.036,0.12,us,us1000767p,2016-11-08T05:38:32.322Z,"1km NNW of Cushing, Oklahoma",earthquake,1,2.5,0.228,5,reviewed,us,us
2016-11-08T04:03:55.600Z,37.6408333,-118.8756667,4.9,0.18,md,11,119,0.01718,0.04,nc,nc72721820,2016-11-08T17:54:01.634Z,"8km E of Mammoth Lakes, California",earthquake,0.56,0.47,0.157,7,reviewed,nc,nc
2016-11-08T03:46:46.100Z,18.2105,-65.1016,6,2.3,Md,3,230.4,0.19583273,0.02,pr,pr16313000,2016-11-08T07:50:56.751Z,"23km SW of Charlotte Amalie, U.S. Virgin Islands",earthquake,1.2,0.7,0,3,reviewed,pr,pr
2016-11-08T03:16:13.000Z,63.5193,-147.4333,9.1,1.9,ml,,,,0.27,ak,ak14309811,2016-11-08T03:53:03.793Z,"77km ENE of Cantwell, Alaska",earthquake,0.4,0.5,,,automatic,ak,ak
2016-11-08T03:10:07.061Z,36.5536,-116.0964,11,0.1,ml,23,186.82,0.142,0.1751,nn,nn00565813,2016-11-08T15:12:23.698Z,"39km NNW of Pahrump, Nevada",earthquake,,1.3,0.9,6,reviewed,nn,nn
2016-11-08T03:07:10.776Z,36.5528,-116.0928,11.8,1,ml,28,93.22,0.143,0.1517,nn,nn00565812,2016-11-08T05:24:45.402Z,"39km NNW of Pahrump, Nevada",earthquake,,1.1,0.27,18,reviewed,nn,nn
2016-11-08T02:55:19.740Z,19.4336667,-155.5666667,44.682,1.79,md,19,56,0.02839,0.13,hv,hv61472776,2016-11-08T19:34:20.080Z,"26km NNW of Pahala, Hawaii",earthquake,1.15,1.98,0.039,10,reviewed,hv,hv
2016-11-08T02:47:43.030Z,34.5798333,-118.0386667,7.45,1.48,ml,28,65,0.05313,0.16,ci,ci37519583,2016-11-08T14:03:15.906Z,"6km E of Palmdale, CA",earthquake,0.28,0.65,0.395,29,reviewed,ci,ci
2016-11-08T02:46:54.780Z,34.5793333,-118.0375,7.54,2.22,ml,68,31,0.05252,0.14,ci,ci37519575,2016-11-08T15:50:06.781Z,"6km E of Palmdale, CA",earthquake,0.12,0.32,0.159,110,reviewed,ci,ci
2016-11-08T02:43:47.340Z,34.0938333,-117.284,13.3,0.99,ml,32,89,0.1029,0.14,ci,ci37519567,2016-11-08T14:03:32.655Z,"4km NE of Colton, CA",earthquake,0.33,0.84,0.263,29,reviewed,ci,ci
2016-11-08T02:42:35.000Z,62.2862,-151.1533,60.4,2,ml,,,,0.77,ak,ak14309809,2016-11-08T03:53:02.381Z,"54km W of Talkeetna, Alaska",earthquake,0.6,1,,,automatic,ak,ak
2016-11-08T02:31:50.730Z,33.1856667,-115.6026667,2.76,1.31,ml,23,87,0.01361,0.22,ci,ci37148164,2016-11-08T15:21:25.508Z,"10km SW of Niland, CA",earthquake,0.3,0.22,0.171,15,reviewed,ci,ci
2016-11-08T02:31:33.030Z,33.1893333,-115.595,1.91,1.14,ml,6,141,0.02097,0.21,ci,ci37519559,2016-11-08T15:08:16.845Z,"9km SW of Niland, CA",earthquake,0.51,1.36,0.145,5,reviewed,ci,ci
2016-11-08T02:25:53.960Z,19.3495,-155.2485,24.422,1.6,md,42,66,0.02507,0.09,hv,hv61472756,2016-11-08T20:23:05.310Z,"9km S of Volcano, Hawaii",earthquake,0.5,0.57,0.072,20,reviewed,hv,hv
2016-11-08T02:20:34.417Z,38.6181,-118.4383,5.6,0.6,ml,6,112.6,0.067,0.1288,nn,nn00565809,2016-11-08T14:55:22.124Z,"19km ENE of Hawthorne, Nevada",earthquake,,8.4,0,1,reviewed,nn,nn
2016-11-08T02:01:59.901Z,38.616,-118.4803,10.6,0.5,ml,5,195.44,0.035,0.0814,nn,nn00565839,2016-11-08T15:37:22.254Z,"16km NE of Hawthorne, Nevada",earthquake,,4.5,0.41,2,reviewed,nn,nn
2016-11-08T01:54:42.286Z,37.0942,-116.9366,9.5,-0.1,ml,11,208.94,0.138,0.1703,nn,nn00565807,2016-11-08T14:52:09.924Z,"25km NW of Beatty, Nevada",earthquake,,2.7,0.42,6,reviewed,nn,nn
2016-11-08T01:54:31.740Z,36.1291667,-118.0513333,1.86,0.69,ml,18,78,0.1595,0.14,ci,ci37519551,2016-11-08T15:04:59.324Z,"13km NW of Coso Junction, CA",earthquake,0.27,0.86,0.255,7,reviewed,ci,ci
2016-11-08T01:48:39.911Z,39.8897,-119.0195,6.2,0.6,ml,5,214.27,0.334,0.0786,nn,nn00565838,2016-11-08T15:28:07.321Z,"37km NNE of Fernley, Nevada",earthquake,,12.4,0.06,2,reviewed,nn,nn
2016-11-08T01:46:04.000Z,39.8553,-119.0208,13.1,1.2,ml,9,149.51,0.316,0.1675,nn,nn00565806,2016-11-08T03:57:19.203Z,"33km NE of Fernley, Nevada",earthquake,,7.9,0.25,3,reviewed,nn,nn
2016-11-08T01:43:30.142Z,38.4686,-118.3551,2.6,0.3,ml,4,142.1,0.036,0.0765,nn,nn00565818,2016-11-08T03:50:59.933Z,"24km ESE of Hawthorne, Nevada",earthquake,,5.1,0.14,3,reviewed,nn,nn
2016-11-08T01:41:07.493Z,38.6147,-118.4569,8.1,0.1,ml,5,202.84,0.053,0.0185,nn,nn00565816,2016-11-08T03:35:34.875Z,"17km NE of Hawthorne, Nevada",earthquake,,8.6,0.59,4,reviewed,nn,nn
2016-11-08T01:41:02.050Z,38.8230019,-122.8448334,1.62,0.46,md,9,99,0.007659,0.01,nc,nc72721795,2016-11-08T02:24:02.617Z,"9km WNW of The Geysers, California",earthquake,0.35,0.75,0.13,2,automatic,nc,nc
2016-11-08T01:17:38.000Z,60.9032,-147.5855,6.4,2.8,ml,,,,0.71,ak,ak14309792,2016-11-08T01:30:27.418Z,"61km ENE of Whittier, Alaska",earthquake,0.3,0.2,,,automatic,ak,ak
2016-11-08T01:13:26.370Z,38.8260002,-122.8233337,0.18,1.54,md,18,74,0.01068,0.02,nc,nc72721785,2016-11-08T02:13:02.577Z,"7km NW of The Geysers, California",earthquake,0.2,0.44,0.06,7,automatic,nc,nc
2016-11-08T00:58:45.150Z,-5.7905,146.4721,63.48,5.4,mb,,22,3.655,0.68,us,us1000766z,2016-11-08T01:19:53.710Z,"86km NE of Kainantu, Papua New Guinea",earthquake,7.4,5.8,0.043,189,reviewed,us,us
2016-11-08T00:50:40.825Z,38.6164,-118.4572,8.1,1.4,ml,14,86.25,0.052,0.1427,nn,nn00565800,2016-11-08T03:32:26.216Z,"17km NE of Hawthorne, Nevada",earthquake,,0.8,0.29,11,reviewed,nn,nn
2016-11-08T00:46:12.610Z,36.1356667,-89.393,8.59,1.08,md,11,102,0.04738,0.02,nm,nm60164406,2016-11-08T14:13:58.570Z,"11km N of Dyersburg, Tennessee",earthquake,0.63,0.67,0.145,5,reviewed,nm,nm
2016-11-08T00:28:59.580Z,45.8363333,-122.4521667,-0.89,1.37,ml,11,287,0.2522,0.29,uw,uw61229636,2016-11-08T18:12:28.920Z,"4km SW of Yacolt, Washington",explosion,1.65,31.61,0.263,9,reviewed,uw,uw
2016-11-08T00:21:14.236Z,37.3166,-115.1662,2.5,1.1,ml,6,144.6,0.128,0.0712,nn,nn00565799,2016-11-08T00:55:35.286Z,"5km S of Alamo, Nevada",earthquake,,25.6,0.18,3,reviewed,nn,nn
2016-11-08T00:16:39.420Z,38.649,-118.7894,10.8,1.4,ml,9,103.63,0.21,0.098,nn,nn00565792,2016-11-08T00:40:07.734Z,"19km NW of Hawthorne, Nevada",earthquake,,4,0.37,3,reviewed,nn,nn
2016-11-08T00:16:01.420Z,-3.3906,139.6648,46.62,4.3,mb,,118,7.419,0.6,us,us1000766t,2016-11-08T00:35:49.040Z,"132km SW of Abepura, Indonesia",earthquake,10,6.6,0.142,14,reviewed,us,us
2016-11-08T00:08:21.470Z,40.6041679,-123.7651672,8.11,2.45,md,17,81,0.1825,0.13,nc,nc72721780,2016-11-08T00:52:03.418Z,"28km ENE of Hydesville, California",earthquake,0.43,0.86,0.13,9,automatic,nc,nc
2016-11-08T00:08:01.000Z,64.8613,-147.2024,14.8,1.7,ml,,,,0.54,ak,ak14309783,2016-11-08T00:21:03.693Z,"14km NNE of North Pole, Alaska",earthquake,0.3,0.3,,,automatic,ak,ak
2016-11-08T00:02:42.000Z,64.9585,-147.4525,0,1.2,ml,,,,0.68,ak,ak14309781,2016-11-08T00:13:22.439Z,"18km NE of Fairbanks, Alaska",earthquake,0.3,31.4,,,automatic,ak,ak
2016-11-07T23:49:10.446Z,37.3436,-117.1185,9.8,-0.2,ml,4,228.94,0.121,0.1043,nn,nn00565860,2016-11-08T18:06:24.842Z,"41km SSE of Goldfield, Nevada",earthquake,,21.6,0.07,2,reviewed,nn,nn
2016-11-07T23:45:18.000Z,61.7757,-148.2088,19.3,1.9,ml,,,,0.07,ak,ak14309777,2016-11-07T23:52:41.800Z,"33km E of Sutton-Alpine, Alaska",earthquake,1,0.4,,,automatic,ak,ak
2016-11-07T23:38:40.200Z,18.9055,-64.275,11,2.7,Md,6,313.2,0.58390493,0.09,pr,pr16312004,2016-11-08T04:56:51.609Z,"65km NNE of Road Town, British Virgin Islands",earthquake,1.8,2.3,0,4,reviewed,pr,pr
2016-11-07T23:31:33.910Z,38.8183327,-122.7616653,1.66,0.49,md,7,118,0.01373,0,nc,nc72721775,2016-11-07T23:33:14.680Z,"3km W of Cobb, California",earthquake,0.62,2.25,0.07,3,automatic,nc,nc
2016-11-07T23:31:22.000Z,59.688,-153.0934,103.2,2.5,ml,,,,0.3,ak,ak14309772,2016-11-07T23:44:30.503Z,"71km W of Anchor Point, Alaska",earthquake,0.6,0.6,,,automatic,ak,ak
2016-11-07T23:08:10.670Z,38.8195,-122.7611694,1.89,0.53,md,7,117,0.01291,0.01,nc,nc72721765,2016-11-07T23:46:02.829Z,"3km W of Cobb, California",earthquake,0.61,1.03,0.04,2,automatic,nc,nc
2016-11-07T23:07:45.490Z,33.6323333,-117.1568333,-0.49,1.21,ml,24,59,0.04558,0.18,ci,ci37519511,2016-11-08T00:30:55.006Z,"8km N of Murrieta Hot Springs, CA",quarry blast,0.36,31.61,0.227,27,reviewed,ci,ci
2016-11-07T22:56:55.920Z,34.7338333,-116.2923333,4.82,1.53,ml,19,43,0.1016,0.14,ci,ci37519503,2016-11-08T00:37:48.318Z,"12km W of Ludlow, CA",earthquake,0.19,0.48,0.271,23,reviewed,ci,ci
2016-11-07T22:49:18.390Z,38.7825012,-122.7463303,1.92,1.44,md,6,125,0.007543,0.26,nc,nc72721760,2016-11-07T23:23:01.782Z,"1km ENE of The Geysers, California",earthquake,1.43,2.93,0.09,6,automatic,nc,nc
2016-11-07T22:22:20.000Z,61.7438,-148.205,9.2,2,ml,,,,0.65,ak,ak14309375,2016-11-07T22:37:01.063Z,"34km E of Sutton-Alpine, Alaska",earthquake,0.2,0.2,,,automatic,ak,ak
2016-11-07T22:17:14.110Z,36.4554,-98.7981,5.26,2.7,mb_lg,,84,0.05,0.33,us,us1000765u,2016-11-08T12:39:48.902Z,"35km NW of Fairview, Oklahoma",earthquake,0.8,3.4,0.106,23,reviewed,us,us
2016-11-07T21:58:46.060Z,38.7643318,-122.7085037,-0.26,1.96,md,12,67,0.008169,0.24,nc,nc72721750,2016-11-07T22:15:03.563Z,"4km ESE of The Geysers, California",earthquake,0.62,1.16,0.18,8,automatic,nc,nc
2016-11-07T21:52:10.600Z,17.965,-68.4235,93,3.3,Md,14,334.8,0.98904513,0.25,pr,pr16312003,2016-11-07T22:54:46.561Z,"49km SSE of Boca de Yuma, Dominican Republic",earthquake,2.6,2.1,0,13,reviewed,pr,pr
