time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2016-11-08T19:32:44.380Z,38.796833,-122.767334,0.93,1.87,md,24,77,0.01649,0.02,nc,nc72722110,2016-11-08T20:23:01.597Z,"2km NNW of The Geysers, California",earthquake,0.19,0.37,0.16,8,automatic,nc,nc
2016-11-08T19:26:25.000Z,60.0862,-152.8512,110.6,1.8,ml,,,,0.34,ak,ak14310390,2016-11-08T20:24:00.258Z,"44km S of Redoubt Volcano, Alaska",earthquake,0.6,0.6,,,reviewed,ak,ak
2016-11-08T19:20:43.000Z,61.769,-150.7321,57.1,3.2,ml,,,,0.56,ak,ak14310379,2016-11-08T19:40:13.995Z,"36km W of Willow, Alaska",earthquake,0.2,0.6,,,automatic,ak,ak
2016-11-08T19:13:23.390Z,33.2718333,-116.1193333,1.76,1.97,ml,69,35,0.1121,0.24,ci,ci37735016,2016-11-08T19:51:40.101Z,"14km N of Ocotillo Wells, CA",earthquake,0.17,0.51,0.14,68,reviewed,ci,ci
2016-11-08T19:05:37.530Z,38.7944984,-122.7521667,0.52,0.77,md,9,102,0.01649,0.02,nc,nc72722080,2016-11-08T19:07:15.510Z,"1km N of The Geysers, California",earthquake,0.29,0.6,0.2,4,automatic,nc,nc
2016-11-08T18:21:10.000Z,60.9566,-146.8364,9.2,2,ml,,,,0.96,ak,ak14310307,2016-11-08T18:28:35.162Z,"32km SW of Valdez, Alaska",earthquake,0.5,0.3,,,automatic,ak,ak
2016-11-08T18:12:21.650Z,33.1991667,-116.0303333,8.66,1.59,ml,51,57,0.08891,0.24,ci,ci37519799,2016-11-08T18:43:35.789Z,"11km ENE of Ocotillo Wells, CA",earthquake,0.23,1,0.12,43,reviewed,ci,ci
2016-11-08T18:06:32.630Z,33.5931667,-116.8073333,9.11,0.63,ml,24,84,0.03609,0.11,ci,ci37519791,2016-11-08T18:30:39.620Z,"13km WNW of Anza, CA",earthquake,0.22,0.34,0.143,12,reviewed,ci,ci
2016-11-08T17:56:33.000Z,64.5277,-149.4682,19.5,1.4,ml,,,,0.32,ak,ak14310305,2016-11-08T18:08:52.584Z,"17km WSW of North Nenana, Alaska",earthquake,0.4,0.1,,,automatic,ak,ak
2016-11-08T17:26:38.600Z,18.493,-64.1463,17,2,Md,4,352.8,0.4527509,0.05,pr,pr16313001,2016-11-08T19:13:46.168Z,"50km E of Road Town, British Virgin Islands",earthquake,4.8,0.6,0,3,reviewed,pr,pr
2016-11-08T17:22:08.740Z,38.8213348,-122.807663,2.29,0.99,md,15,88,0.002789,0.02,nc,nc72722065,2016-11-08T18:05:01.676Z,"6km NW of The Geysers, California",earthquake,0.3,0.47,0.14,4,automatic,nc,nc
